to adabdon to	từ bỏ;bỏ;ruồng bỏ;bỏ lại
cut no ice with	không ăn thua gì;không nước mẹ gì;không ảnh hưởng gì tới 
cut off	chặt;cắt;cắt đứt;kết liễu;làm chết đột ngột;cắt;tắt;hãm;phanh 
cut off one's nose to spite one's face	chịu hậu quả do mình bực tức gây ra;tự mình hại mình 
cut one's cout accroding to one's cloth	liệu vải mà cắt áo;liệu cơm gắp mắm;liệu bò đo chuồng 
cut one's lucky	chuồn;tẩu thoát;chạy trốn make one's lucky	chuồn;tẩu thoát;chạy trốn 
cut one's stick	chuồn;tẩu thoát;chạy trốn 
cut one's wisdom-teeth	mọc răng khôn;đã khôn lên;đã chín chắn hơn;có kinh nghiệm hơn
cut out	cắt ra;cắt bỏ;thôi;ngừng;làm mờ;áp đảo;hất cẳng;khắc;điêu khắc;chạm;chạm trổ;vạch ra trước;chuẩn bị trước;lên kế hoạch;lên phương án 
cut short	thu ngắn;rút ngắn;ngừng bất thần;ngừng đột xuất;ngừng đột ngột 
cut dead	phớt lờ;làm ngơ;coi như không biết;xem như không biết 
cut down	giết;trừ khử;thanh trừng;gây thương tích;đâm chết;chém chết 
cut short	ngắt lời;nói xen ngang take up
short	ngắt lời;nói xen ngang 
cut to the heart	làm đau lòng;làm tổn thương;chạm đến tâm can 
cut to pieces	cắt ra từng mảnh cut the grass under one's feet	phổng thay trên;hớt tay trên;nẫng tay trên 
cut the ground from under one's feet	nắm trước ý đồ;biết trước ý đồ;đoán được ý đồ 
cut to length	cắt phân đoạn;cắt theo chiều dài đã định 
cut to the ground	chặt sát gốc;đốn sát gốc 
cut to the quick	làm tổn thương;làm rạn nứt tình cảm;làm tổn thương tình cảm;chạm nọc;chạm đến tâm can
cut up	cắt ra từng mành;tiêu diệt;chỉ trích gay gắt;phê bình nghiêm khắc;làm đau đớn;làm đau lòng;để lại tiền của;để lại của cải 
cut up fat	để lại nhiều tiền 
cut up rough	nổi nóng;gây gổ;điên tiết 
cut up rusty	nổi nóng;phát cấu;phát giận 
cut up savage	nổi cơn thịnh nộ;phát khùng;phát điên 
cut up ugly	nổi cơn thịnh nộ;phát khùng;phát điên 
cut your coat according to your cloth	liệu cơm gắp mắm;liệu gió bỏ buồm 
cut-and-dried	bố trí;chuẩn bị từ đầu;chuẩn bị từ trước;khó mà thay đổi;không có gì mới mẻ;không có gì độc đáo 
cutaway	hình vẽ;mô hình cắt ngang 
cut out for	có ý định;có dự kiến;có dự định;có khả năng;có tư cách 
cutrate	giảm giá;hạ giá 
cut-throat	gay gắt;kịch liệt;tàn khốc;dữ dội 
dab at	lau nhẹ;chạm nhẹ;sờ nhẹ 
dab off	thấm nhẹ;vỗ nhẹ;hớt nhẹ;xóa bỏ;tẩy sạch 
dab on	quệt lên;đắp vào;hót đi;quệt nhẹ 
dab onto	quệt lên;đắp vào;hót đi;quệt nhẹ 
dabble in	làm ướt;té nước vào;nhúng vào nước;học đòi 
dabble at	học đòi at danggers drawn with	hục hặc với;mau thuẫn với 
at danggers point with	hục hặc với;mau thuẫn với 
look danggers at	nhìn chằm chằm;nhìn giận giữ 
dally away	làm mất;bỏ phí;lãng phí 
dally over	dây dưa;lần lữa 
dally with	xử sự không nghiêm túc;đùa giỡn;giỡn chơi;thờ ơ;làm ngơ 
dam up	ngăn đập;ngăn nước;đắp nước;kìm nén;kìm chế
what's the damage	hết bao nhiêu tiền;giá bao nhiêu 
damage to	làm thiệt hại;gây thiệt hại 
damaging to	có hại cho;gây hại cho 
as near as damn it	rất gần;cận cề;suýt soát 
damn to consequences	không để tâm đến;không bận tâm;bất cần 
damned if	chắc chắn không;quả quyết không;nhất quyết không 
I'm damned if	chắc chắn không;quả quyết không;nhất quyết không 
damn with faint praise	chỉ trích thái quá;lên án thái quá 
I'll be dammned	trời đất ơi;trời ơi;chao ôi 
not be worth a damn	chẳng có giá trị;vô giá trị 
not care a damn about	mặc kệ;bất cần;không bận tâm 
give a damn about	mặc kệ;bất cần;không bận tâm 
give a hang about	mặc kệ;bất cần;không bận tâm 
give a hoot about	mặc kệ;bất cần;không bận tâm 
damp down	hãm lại;làm giảm tiếng ồn;giảm sức nóng;làm giảm súc động;kiềm chế;hạn chế;làm giảm bớt 
damp down one's hope	dập tắt hy vọng;làm cụt hy vọng  
damp off	làm thối rụng;làm úng nước 
cast a damp over	làm nản lòng;giội gáo nước lạnh vào;tát gáo nước lạnh 
strike a damp into a meeting	làm mất vui;làm bầu không khí thêm ảm đạm
dance a baby in one's hand	bồng bế;ẵm trên tay;bế trên tay 
dance attendance upon	luôn luôn theo bên cạnh;đợi lâu;đợi dài cổ 
dance away one's time	giết thời gian 
dance for joy	nhảy lên vì sung sướng 
dance in the wind	rung rinh trong gió;đu đưa;đung đưa 
dance on	nhấp nhô;đung đưa 
dance on nothing	bị treo cổ 
dance one's head off	nhảy múa chóng cả mặt 
dance to one's tune	bị xỏ mũi;bị dắt mũi;nghe lời;nghe theo 
dance to one's whistle	bị xỏ mũi;bị dắt mũi;nghe lời;nghe theo 
dance to the disco music	nhảy nhạc 
disco dance with joy	rộn ràng sung sướng
dance with rage	nhảy chồm lên;nhảy xổm lên;nhảy xổ lên 
dance with	nhảy với;khiêu vũ với 
hold the dance	tổ chức vũ hội 
lead a preatty dance	gây nhiều khó khăn;gây khó dễ;làm tội làm tình 
make a song and dance about	làm ầm ĩ;ầm ĩ;om sòm;ầm ỹ a
danger foreseen is half avoided	cẩn tác vô ưu;cẩn tắc vô áy náy 
in danger	gặp nguy hiểm;bên bờ vực nguy hiểm;bị đe dọa;bị nguy hiểm
in danger of	nguy hiểm đến 
in danger of the life	nguy hiểm đến tính mạng 
danger of fire	nguy cơ bị cháy;nguy cơ bị hỏa hoạn;nguy cơ cháy nổ 
on the danger list	ốm liệt giường;ốm thập tử nhất sinh 
out of danger	thoát nạn;thoát khỏi nguy hiểm;tránh được nguy hiểm 
a danger to	mối nguy hiểm cho;mối đe dọa do;mối nguy hại cho 
I dare say	tôi dám chắc;tôi chắc rằng 
how dare you	sao anh dám;sao anh nỡ 
I dare you	tôi thách anh đấy;tao thách mày 
how do you dare?	sao anh dám;sao anh nỡ 
for a dare	vì đã nhận lời thách thức 
the dark ages	thời trung cổ 
the dark continent	châu phi;phi châu 
dark crime	tội ác ghê rợn;tội ác ghê tởm 
dark future	tương lai mờ mịt 
dark room	phòng tối 
dark skin	da bánh mật;da ngăm đen 
a dark horse	ứng cử viên ít biết đến;người kín đáo;người kín tiếng;người hay giấu tài lẻ;người hay làm của riêng 
in the dark	tối tăm;ngu dốt;đần độn;không hay biết;không biết gì;không nghe nói gì 
keep it in the dark from	giữ bí mật;giữ kín;không hé lộ;không tiết lộ 
keep it dark	giữ bí mật dart at	phóng vào;lao vào 
dart a galnce at	nhìn chằm chằm;nhìn lén lút;nhìn trộm 
dart an angry look at	nhìn bực tức;nhìn hậm hực 
dart across	lao qua;băng qua 
dart away	lao vụt đi;chạy mất 
dart back into	lao vộ về
dart down	lao xuống;đâm bổ xuống 
dart downwards	lao xuống;đâm bổ xuống 
dart into	lao vào 
dart out	phóng ra;thè ra 
dart through	bay vụt qua;bay lướt qua;bay qua 
dash against	va chạm;đụng chạm;văng mạnh;vỗ vào;sô vào;hất văng 
dash along	lao đi dash at	xông vào;lao vào;nhảy bổ vào 
make a dash at	lao tới;xông tới 
make a dash against	lao tới;xông tới 
dash away	xô mạnh ra xa;đẩy mạnh ra xa;quăng mạnh ra xa;vọt ra xa;lau chùi;lau đi 
dash down	đập mạnh xuống;nhảy bổ xuống;lao xuống;viết nhanh;thảo nhanh 
dash from	lao ra;xông ra 
dash in	vẽ nhanh;vẽ ra;phác ra;lao vào;xông vào;nhảy bổ vào 
dash off	lao đi;lấy nhanh;chùi nhanh;lau vội;thảo nhanh;vẽ nhanh;phác họa;viết vội;tốc ký 
dash oneself against	vỗ mạnh vào;xô mạnh vào 
dash one's brains out	tự tử;tự sát;đập đầu tự tử;đập đầu vào tường
dash out	gạch đi;xóa đi;lao ra 
dash over	đánh qua;vỗ qua;bắn tung tóe;làm tung tóe 
dash to	lao đến;lao tới;chạy tới 
dash one's hope	dập tắt hy vọng;đập tan hy vọng 
dash to pieces	đập vỡ ra từng mảnh;đập vụn ra 
dash one's plan	làm vỡ kế hoạch;làm phá sản kế hoạch;phá sản âm mưu 
dash up	xô vào dash water over	vẩy nước lên;hắt nước lên 
date back	để lùi ngày lại 
date back to	có từ;bắt đầu từ
date back from	có từ;bắt đầu từ 
have a date with	hẹn gặp 
make a date	hẹn hò;hẹn nhau out of date	không hợp thời;hết hạn;lỗi thời;lỗi mốt 
up-to-date	hiện đại;đúng xu thế;được cập nhật 
dawn on	chợt nhận ra;chợt nảy ra;lóe lên;hé nở;hé ra;lộ ra;hiện ra;hiện trên;nhận ra 
dawn upon	chợt nhận ra;chợt nảy ra;lóe lên;hé nở;hé ra;lộ ra;hiện ra;hiện trên;nhận ra 
dawn of brighter days	tia sáng đầu tiên của cộc sống tươi đẹp 
dawn of civilization	buổi đầu của thời đại văn minh 
dawn of dawn	tờ mờ sáng;sáng tinh mơ;sáng tinh sương;rạng sáng 
dawn of love	lúc mới yêu;khi mới yêu;buổi ban đầu của tình yêu 
daub onto	bôi bẩn;vẽ lem nhem 
day-dream	mơ tưởng hão huyền 
day after day	ngày này qua ngày khác;ngày nọ tiếp ngày kia;từng ngày 
from day after day	ngày này qua ngày khác;ngày nọ tiếp ngày kia;từng ngày 
as the day is long	đặc biệt;vô cùng;vô hạn 
day-blind	quáng gà 
day by day	mỗi ngày một;dần dần;từ từ;ngày lại ngày 
day break	rạng đông;lúc mặt trời mọc;lúc tảng sáng 
day care	việc giữ trẻ ban ngày 
day care center	trung tâm giữ trẻ ban ngày 
carry the day in	chiến thắng;thắng lợi;thắng cuộc 
win the day in	chiến thắng;thắng lợi;thắng cuộc 
have one's day	không còn danh tiếng;không còn thắng lợi;hết thời
day in and day out	ngày ngày;ngày lại ngày;ngày này qua ngày khác 
day in day out	ngày ngày;ngày lại ngày;ngày này qua ngày khác 
day of the doom	ngày phán xử cuối cùng;ngày tận thế 
day of the dooms day	ngày phán xử cuối cùng;ngày tận thế 
day of the judgement	ngày phán xử cuối cùng;ngày tận thế
day of grace	gia hạn day-off	ngày nghỉ 
rest-day	ngày nghỉ 
day-to-day	thường ngày
lose the day	thua;thua cuộc;thua trận 
the day is ours	chúng ta đã thắng 
on one's day	sung túc;có của ăn của để;giàu có 
one's days are numbered	sắp đến ngày tận số;sắp đến ngày thất bại;sắp bị diệt vong;sắp đến ngày phá sản 
the other day	gần đây;hôm nọ;bữa nọ;ngày nọ
these days	dạo này 
this day week	ngày này tuần sau 
the day	một cách chính xác 
it's three years to the day	đã ba năm tròn 
dead battery	bình ac-qui hết điện 
dead calm	sự lặng gió 
dead center	điểm chết;chỗ bế tắc 
dead certainty	sự tin chắc hoàn toàn 
dead clothes	vải liệm;quần áo liệm 
dead colour	màu xỉn;màu đục;màu lót trên bức tranh 
dead drunk	say bí tỷ;sau khướt;say bét nhè 
blind drunk	say bí tỷ;sau khướt;say bét nhè 
dead hour	giờ im ắng;giờ yên lặng;giờ giới nghiêm
dead letter	thư không ai nhận 
dead loss	sự thất bại hoàn toàn;sự thiệt hại hoàn toàn 
dead failure	sự thất bại hoàn toàn;sự thiệt hại hoàn toàn 
dead sleep	giấc ngủ say như chết;ngủ như chó con say sữa;ngủ như chết 
dead money	tiền không sinh lời 
dead spring	lò xo không đàn hồi 
dead stock	lô hàng ế ẩm 
dead tired	mệt chết đi được;mệt lử 
dead wall	tường kín dead wind	gió ngược chiều 
dead window	cửa sổ giả 
dead against	kiên quyết phản đối 
dead-beat	mệt lử;mệt rã rời a
dead beat	kẻ lười biếng;vẻ vô công rồi nghề;kẻ mắc nợ;kẻ lêu lỏng 
dead broken	khánh kiệt;túng quẫn;hết sạch;nghèo xác nghèo xơ;nghèo rớt mồng tơi;bần cùng;không một xu dính túi;nghèo xơ nghèo xác;nghèo xơ xác;nghèo kiệt xác;nghèo kiết xác 
let the dead bury the dead	hãy quên đi quá khứ;hãy quên đi dĩ vãng 
dead certain	tin chắc 
dead end	đường cùng;ngõ cụt;đường cụt;bế tắc;không lối thoát go
dead	không hoạt động 
deadhead	người đi xem hát không mất tiền;người đi tàu không mất tiền 
dead lift	sự cố gắng vô ích 
dead-line	đường giới hạn;vạch giới hạn;hạn chót;hạn cuối cùng 
dead-lock	sự bế tắc;sự đình trệ hoàn toàn 
dead men's shoes	tài sản có nhiều người dòm ngó;địa vị có nhiều người nhòm ngó;tài sản có
nhiều người tranh giành;công việc của một người đã chết hoặc bất ngờ bỏ đi in
danger of going bare-foot	đến chết dần chết mòn;đến chết khô 
dead men tell no tales	chết là hết;chết là xong việc 
dead ring of	giống hệt;y chang;giống như đúc
dead spit and image of	giống hệt;y chang;giống như đúc 
dead set	trận sinh tử;trận tử chiến;trận quyết tử 
dead set on	quyết tâm làm;nhất quyết làm;làm tới cùng 
dead set against	quyết tâm làm;nhất quyết làm;làm tới cùng 
at a dead set	bị kẹt;bị vướng;bị mắt;bị sa bẫy;bị sa lầy 
dead stop	đứng sững lại;đột ngột dùng
dead sure	hoàn toàn chắc chắn;tin chắc 
dead to all sense of honour	không còn biết thế nào là danh dự nữa 
dead to honour	không màng danh vọng 
dead to reason	không chịu nghe theo lẽ phải 
dead to the world	ngủ say dead-weight	sức chở;trọng tải;trọng lượng 
dead of night	đêm khuya thanh vắng;đêm khuya in the
dead of	giữa mùa 
as deaf as an adder	điếc đặc;điếc lòi 
as deaf as a beetle	điếc đặc;điếc lòi
as deaf as a stone	điếc đặc;điếc lòi
as deaf as a post	điếc đặc;điếc lòi
fall on deaf ears	không được thông báo;không được biết đến;không được đáp ứng 
deaf to	làm ngơ;làm lơ;thờ ơ 
turn a deaf ear to	không chịu nghe 
deal a blow at	giáng một đòn;nện cho một trận 
deal one a blow	giáng một đòn;nện cho một trận 
deal by	cư xử;đối xử;giao thiệp;giao du 
deal with	cư xử;đối xử;giao thiệp;giao du 
deal in	cho nhập cuộc;buôn bán;kinh doanh
deal out	phân phối;phân phát;phân chia;phán xử;phân xử 
deal with	có quan hệ;giao thiệp với;đi lại với;chơi bời với;giải quyết;đối phó;giao thương;hợp tác làm ăn;nói về;đề cập về 
dead-bed	giờ phút cuối cùng;lúc lâm chung;lúc trút hơi thở 
deathbed	lúc lâm chung
death bell	hồi chung cáo chung;hồi chung báo tử 
death passing	hồi chung cáo chung;hồi chuông báo tử 
death-blow	đòn chí tử 
die the death	???
at death's door	sắp chết;cận kề cái chết;gần kề cái chết 
do to death	làm đi làm lại;diễn đi diễn lại;lặp đi lặp lại;chơi đi chơi lại 
frighten to death	hoảng sợ;sợ chết khiếp;khiếp vía 
scare to death	hoảng sợ;sợ chết khiếp;khiếp vía 
death is great leveller	chết thì ai cũng như ai 
the kiss of death	cái hôn chết người;việc làm bên ngoài tốt nhưng lại gây hại 
death pays all debts	chết là hết nợ 
a matter of life and death	một vấn đề quyết định sống còn;một vấn đề sinh tử 
put to death	xử tử;thanh trừng;kiết liễu;giết;khai tử 
death bed repentance	sự hối hận lúc sắp chết;sự ăn năn lúc sắp chết 
the death	cho tới khi chết;đến hơi thở cuối cùng 
debar drom	ngăn cản;ngăn cấm;tước quyền 
debate on	tranh luận;bàn cãi
debate about	tranh luận;bàn cãi
debit to	ghi nợ;ghi nợ vào sổ
debit against	ghi nợ;ghi nợ vào sổ 
in debt	mắc nợ 
deep in debt	nợ ngập đầu 
fall into one's debt	mắc nợ
get into one's debt	mắc nợ
run into one's debt	mắc nợ
out of debt	hết nợ;không còn nợ 
be that dies, pays all debts	chết là hết nợ 
debt is the worst poverty	nhất tội;nhì nợ 
deceive into	lừa dối;đánh lừa 
deceived in	ngộ nhận 
decide against	phân xử thua;phán xử thua;xét xử thua 
decide against doing	quyết định không làm 
decide for favour of	phân xử được kiện 
decide in favour of	phân xử được kiện 
decide on	chọn;quyết định chọn
deck oneself out	tô điểm;trang điểm 
deck oneself up	tô điểm;trang điểm 
deck with	trang hoàng;trang trí 
declare against	tuyên bố chống lại;tuyên bố phản đối;tuyên bố không tán thành 
declare for	tuyên bố ủng hộ;tuyên bố tán thành 
declare off	tuyên bố bãi bỏ;tuyên bố từ bỏ;tuyên bố ngừng;tuyên bố chấm dứt;tuyên bố hủy bỏ 
declare war against on	tuyên chiến 
declare war against upon	tuyên chiến 
decline in	hạ xuống;tụt xuống;rớt giá;mất giá;giảm giá;hạ giá 
fall into a decline	bị suy sụp 
go into a decline	bị suy sụp 
on the decline	trở nên yếu đi;yếu ớt đi;giảm bớt 
decrease by	giảm mất; giảm đi
a decrease in	sự giảm 
a decrease in price	sự giảm giá 
a decrease in income	sự giảm thu nhập 
on the decrease	trên đà giảm sút 
dedicate to	cống hiến;hiến dâng;đề tặng
national liberation	giải phóng dân tộc 
dedicate oneself to	tận tâm vì;hết lòng vì;giành tất cả cho 
deduce from	suy ra từ;luận ra từ;suy diễn từ
deduct from	lấy đi;khẩu đi;trừ đi 
deep in	chìm sâu vào;mải mê;chìm ngập trong;miệt mài 
beauty is only skin deep	tốt gỗ hơn tốt nước sơn;phẩm chất quan trong hơn vẻ bề ngoài 
go off the deep end	điên tiết;vô cùng giận dữ;liều;làm liều;liều lĩnh 
in deep water	gặp hoạn nạn;gắp khó khăn;gặp rối ren;rắc rối 
throw in at the deep end	đưa vào khó khăn 
deep-sea	ngoài khơi
deep-sea fishing	đánh bắt ngoài khơi 
deep down	thực ra
go deep into	đi sâu vào
work deep into the night	làm việc đến tận khuya 
default on	không trả được;không trả nổi 
by default	vắng mặt 
judgement by default	phiên xét xử vắng mặt 
in default of	vì thiếu;vì vắng 
default in	thiếu;không có 
default in obligation	không hoàn thành nghĩa vụ 
default in performance of the contract	không thực hiện hợp đồng
default in payment	sai hẹn;không trả được nợ 
defeated at	bị đánh bại;bị loại 
defeated in	bị đánh bại;bị loại 
suffer a defeat	chịu thất bại 
sustain a defeat	chịu thất bại 
it defeats me	tôi thua;tôi thất bại 
defeat	ngăn cản;cản trở;làm trở ngại 
defect from	đào ngũ;bỏ theo địch;bỏ đạo;rời bỏ
defect to	đào ngũ;bỏ theo địch;bỏ đạo;rời bỏ
defend against	bảo vệ;che chở;chống lại  
defend from	bảo vệ;che chở;chống lại  
defend one's title	bảo vệ danh hiệu
defend one'e client	bào chữa;biện hộ
defer to	theo;chiều theo;làm theo;hoãn;trì hoãn;hoãn lại 
deficient in	thiếu;thiếu hụt;kém cỏi;bất tài;không đủ khả năng
define as	định nghĩa;định rõ;quy định 
deflect from	đi lệch;đi trệch;chuyển hướng;đổi hướng
defraud of	lừa gạt để lấy;đánh lừa 
by degrees	dần dần;từ từ 
to a degree	lắm;rất 
boring to a degree	rất buồn tẻ 
to a certain degree	đến chừng;đến mức 
forbidden degree	quan hệ họ hàng gần không được phép lấy nhau 
put through the third degree	ép cung;tra khảo;tra hỏi
deligate	cử làm đại biểu;cử;giao phó;ủy nhiệm;giao trọng trách 
deleterious to	độc hại;có hại cho;gây hại cho;không tốt cho
deliberate on	cân nhắc kỹ;bàn bạc kỹ 
deliberate upon	cân nhắc kỹ;bàn bạc kỹ 
deliberate over	cân nhắc kỹ;bàn bạc kỹ 
delight in	thích thú;ham thích
delighted at	vui thích;vui sướng với;vui mừng
delighted with	vui thích;vui sướng với;vui mừng
delight in	thích thú;vui sướng 
delirious with delight	sướng điên lên;sướng cuồng lên 
deliver an assault on the enermy	mở cuộc tấn công quân địch 
deliver a judgment	tuyên án 
deliver a speech	đọc diễn văn 
deliver from	giải thoát;cứu thoát 
delivered of	sinh ra;đẻ ra;nặn ra;chế ra;sáng tác ra 
deliver over	chuyển giao;chuyển nhượng 
deliver oneself of	trình bày;giãi bày 
deliver to	giải thoát;phân phát;giao hàng;giao cho;giao 
deliver up	trả lại;giao nộp;cống nạp;nộp 
deliverance from	sự cứu nguy;sự giải thoát khỏi 
cash on delivery	trả tiền khi giao hàng 
pay on delivery	trả tiền khi giao hàng 
take delivery of	nhận được;nhận về 
delude with	đánh lừa;lừa dối 
empty promises	lời hữa hão;lời hứa xuông 
delude oneself with	tự dối mình;tự dối lừa bản thân 
false hopes	hy vọng hoang tưởng;hy vọng hão huyền 
delude with	làm tràn nghập;dồn dập;tới tấp 
demand of	đòi hỏi 
damand for	sự đòi hỏi;sự yêu cầu 
in demand	được nhiều người yêu cầu;được nhiều người chuộng;được săn đón nhiều
in great demand	được nhiều người yêu cầu;được nhiều người chuộng;được săn đón nhiều
make demands of	đòi hỏi nhiều khả năng 
make demands on	đòi hỏi nhiều khả năng 
on demand	khi yêu cầu;theo yêu cầu 
depart for	rời khỏi;khởi hành tới;đi tới 
depart fron	rời khỏi;khởi hành;sao lãng;sao nhãng;đi trệch;không làm theo
depart from one's duty	sao nhãng nhiệm vụ 
depart from a subject	đi lạc đề 
depart from one's promise	không giữ lời hứa 
depart from life	từ trần;từ giã cõi trần 
depend on	phụ thuộc vào;tùy thuộc;tùy theo;dựa vào;ỷ vào;trong chờ vào;trong cậy vào 
depend upon	phụ thuộc vào;tùy thuộc;tùy theo;dựa vào;ỷ vào;trong chờ vào;trong cậy vào;nhờ cậy vào;tin tưởng được 
that depends	cái đó còn tùy 
it depends	cái đó còn tùy 
dependent on	phụ thuộc vào;lệ thuộc vào;tùy thuộc vào 
deposit in	gửi tiền vào;đặt cọc;gửi tiền ký quỹ;đặt vào;để vào 
deposit with	gửi nhờ 
deprive of	lấy đi;cướp đi;tước đoạt;che khuất
drive from	nhận được từ;lấy được từ;thu được từ 
derogate from	làm giảm;làm tổn hại;xúc phạm đến 
derogatory to	làm giảm đi;xúc phạm đến;không xứng với;không xứng;tác hại đến 
descend from	xuất thân từ;truyền lại từ
descend on	tấn công bất ngờ;đánh bất ngờ 
descend upon	tấn công bất ngờ;đánh bất ngờ;viếng thăm bất ngờ 
hide-out	xào huyệt;nơi ẩn nấu;doanh trại 
describe as	mô tả;kể lại
describe oneself as	tự xưng là;tự cho la;tự coi là 
describe to	kể lại;tả lại
descriptive of	diễn tả;mô tả;miêu tat
desert a cause	từ bỏ ý định;từ bỏ mục đích 
desert a friend in difficulty	bỏ mặc trong khó khăn hoạn nạn 
desert one's family	bỏ nhà ra đi;trốn gia đình;bỏ nhà bỏ cửa 
desert one's country	rời bỏ quê hương 
desert the army	đào ngũ 
desert the colours	đào ngũ 
deserted by	bị ruồng bỏ;bị bỏ rơi 
deserve	đáng;xứng đáng được 
deserve one's wage	đáng đồng lương 
deserve well of	đáng được đối xử tốt;có công với
deserve ill of	đáng bị trừng trị 
one good turn deserves another	ở hiền gặp lành 
design for	thiết kế;phác họa 
designed for	được dùng cho;nhằm dùng cho;để dùng cho;được thiết kế để
designed as	được dùng cho;nhằm dùng cho;để dùng cho;được thiết kế để
designed to	được dùng cho;nhằm dùng cho;để dùng cho;được thiết kế để
traffic congestion	ách tắc giao thông;tắc nghẽn giao thông 
relieve traffic congestion	giảm tắc nghẽn giao thông 
have designs on	có dự định;có mưu đồ;có âm mưu 
have designs against	có dự định;có mưu đồ;có âm mưu 
desire to do	yêu cầu làm;mong muốn làm 
leave much to be desired	để lại nhiều điều đáng chê trách 
do at the desire of	làm theo yêu cầu của
desire for	mong muốn 
desirous of	thèm muốn;khao khát;khát khao;khát vọng;ao ước 
a stable situation	địa vị vững vàng 
desist from	ngừng;thôi;nghỉ;bỏ;chừa 
despair of	hết hi vọng;thất vọng;thôi hi vọng;không còn hi vọng 
despair gives courage to a cowards	cố liều thân;cố liều mạng;trong trong tuyệt vọng một kẻ hèn nhát cũng trở nên dũng cảm 
the despair of	làm thất vọng 
despoil of	cướp đoạt;chiếm đoạt;bóc lột 
despondent about	nản chí;thất vọng;chán nản
destined for	dành cho;dành riêng;định dự định;đi đến;đi tới 
destined to	dành cho;dành riêng;định dự định;đi đến;đi tới 
destitute of	thiếu thốn;không có;trơ trọi;trọc
destitute of all sense of shame	vô liêm xỉ;không biết xấu hổ là gì
hill destitute of trees	ngọn đồi lọc lóc;ngọn đồi không có cây cối 
destructive of	phá hoại;phá hủy;tàn phá;hủy hoại 
deter from	ngăn cản;ngăn chạn;cản trở 
determine on	quyết tâm;kiên quyết 
determine upon	quyết tâm;kiên quyết 
determine against	làm cho thôi;làm cho không 
detract from"lấy đi;khấu đi;làm giảm giá trị;làm giảm uy tín 
determental to	thiệt hại;có hại cho;gây hại cho;bất lợi cho 
develop from	phát triển thành
develop into	phát triển thành
deviate from	lệch;trệch hướng;sai đường;lạc đường;lạc lối;xa rời
deviate from the truth	xa rời chân lý
the devil and the deep sea	tiến thoái lưỡng nan 
the devil and the blue sea	tiến thoái lưỡng nan 
a devil	đừng e ngại;hãy nói thằng 
go to the devil	phá sản;lụn bại;tán gia bại sản 
the devil makes work for idle hands	nhàn cư vi bất thiện 
play the devil with	làm hại đến;làm tồi tệ đi;làm nặng thêm;làm trầm trọng thêm 
raise the devil in	làm tức điên;chọc tức điên lên
there'll be the devil to pay	điều phiền phức phải hứng chịu 
the devil take the hindmost	khôn sống mống chết 
work like the devil	làm việc hang hái 
devoid of	không có;trống rỗng 
devoid of cares	không lo nghĩ;vô tư 
devolve on	trao cho;ủy thác cho;trút cho;đổ cho 
devolve upon	trao cho;ủy thác cho;trút cho;đổ cho 
devolve to	trao cho;ủy thác cho;trút cho;đổ cho 
devolve responsibility on	đổ trách nhiệm lên;trút trách nhiệm lên 
devote to	hiến;cống hiến;hiến dâng;dành hết cho 
devote oneself to	hiến thân;công hiến cho 
devour one's heart	đau đớn âm thầm;héo hon mòi mòn;sầu não;u buồn 
devour one's heart	đau đớn âm thầm;héo hon mòi mòn;sầu não;u buồn 
eat one's heart out	đau đớn âm thầm;héo hon mòi mòn;sầu não;u buồn 
devoured by	bị giày vò;đầy boăn khoăn
diamond anniversary	kỉ niệm 60 năm 
diamon jubilee	kỉ niệm 60 năm 
diamond cut diamon	mạt cưa mướp đắng;vỏ quýt dài có móng tay nhọn;kẻ cắp bà già gặp nhau 
diamond of the first water	kim cương nước tốt nhất;kim cương loại một;người tài giỏi;một sự việc đáng tin cậy 
a rough diamond	người bản chất tốt nhưng học vấn ít;người có học nhưng thiếu lịch sự 
dictate to	đọc cho viết theo;sai khiến;sai bảo;ra lệnh 
die a death	chết một cái chết 
die a dog's death	chết khổ chết sở;chết nhục nhã;chết như một con chó 
die like a dog	chết khổ chết sở;chết nhục nhã;chết như một con chó 
die a glorions death	chết vinh quang 
die a sudden death	chết đột ngột
die the death of a hero	chết một cái chết của người hùng 
die at the stake	chết thiêu
die a natural death	chết vì bệnh;chết vì già 
die at the scene	chết tại chỗ;tử vong tại chỗ
die by inches	chết từ từ 
die from wounds	chết vì bị thương 
die in action	chết trận
die in batte	tử trận;chết trận
die in detention	chết lúc bị giam cầm
die in harness	chết trong khi làm việc 
die in one's bed	chết vì bệnh;chết già 
die in one's boots	chết trong khi làm việc;chết đột ngột;chết bất đắc kỳ tử
die in one's shoes	chết trong khi làm việc;chết đột ngột;chết bất đắc kỳ tử 
die in the last ditch	chiến đấu đến hơi thở cuối cùng;chiến đấu đến cùng
fight up to the last ditch	chiến đấu đến hơi thở cuối cùng;chiến đấu đến cùng
die of cold	chết lạnh;chết rét 
die of fright	sợ chết khiếp
die of grief	chết sầu chết khổ;chết vì đau buồn 
die away	chết dần chết mòn;tàn tạ;mất dần;tan biến đi;tắt dần;bặt đi;nguôi đi 
die by one's own hand	tự mình giết mình 
die by the sword	chết vì gươm đao 
die by violence	chết bất đắc kỳ tử 
die down	giảm bớt;dần tắt;tắt dần;hạ bớt;sắp tắt;lụi bớt 
die for a cause	hy sinh cho sự nghiệp 
die for want of food	chết vì đói;chết vì thiếu ăn 
die from	chết vì 
